,科技馆(地铁站),交通设施服务,地铁站,地铁站.1,广东省,深圳市,宝安区,113.778501,22.71552,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
128,科学城东(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.970021,22.808199,,,,,
129,中大(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.954864,22.796836,,,,,
130,光明城(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.948451,22.734351,,,,,
131,西丽湖(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.965652,22.593564,,,,,
132,大学城(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.965307,22.581946,,,,,
133,龙井(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.974687,22.56401,,,,,
134,桃源村(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.981962,22.5599,,,,,
135,珠光(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.960559,22.56827,,,,,
136,茶光(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.954311,22.574138,,,,,
137,西丽(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.954396,22.580677,,,,,
138,侨城北(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.989148,22.543992,,,,,
139,红树湾南(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.971433,22.523023,,,,,
140,红树湾(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.968432,22.525142,,,,,
141,深湾(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.97862,22.523078,,,,,
142,世界之窗(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.974216,22.5369,,,,,
143,华侨城(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.985369,22.533489,,,,,
144,白石洲(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.967048,22.539604,,,,,
145,高新园(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.953842,22.540236,,,,,
146,阳台山东(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,113.9916,22.667894,,,,,
147,龙胜(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.01201,22.644739,,,,,
148,上塘(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.012838,22.637056,,,,,
149,上芬(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.016637,22.640394,,,,,
150,龙华(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.022419,22.651629,,,,,
151,元芬(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.005138,22.656327,,,,,
152,红山(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.023465,22.621886,,,,,
153,长岭陂(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,114.010275,22.599395,,,,,
154,塘朗(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.999666,22.590097,,,,,
155,深圳北站(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.030298,22.610496,,,,,
156,侨香(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.014378,22.549784,,,,,
157,安托山(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.006236,22.548785,,,,,
158,香蜜(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.023851,22.552772,,,,,
159,深云(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.993727,22.556537,,,,,
160,深康(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,113.998846,22.546456,,,,,
161,竹子林(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.013917,22.533357,,,,,
162,下沙(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.024334,22.5289,,,,,
163,深圳湾公园(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.993114,22.521591,,,,,
164,侨城东(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,113.996651,22.532406,,,,,
165,车公庙(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.02583,22.536247,,,,,
166,农林(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.018135,22.540411,,,,,
167,观澜(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.054771,22.715172,,,,,
168,松元厦(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.064767,22.721153,,,,,
169,长湖(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.044796,22.710764,,,,,
170,竹村(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.040309,22.686728,,,,,
171,清湖北(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.040417,22.672087,,,,,
172,茜坑(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.041087,22.697256,,,,,
173,清湖(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.036538,22.664085,,,,,
174,坂田北(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙岗区,114.063369,22.634919,,,,,
175,贝尔路(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙岗区,114.066366,22.641719,,,,,
176,华为(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙岗区,114.067171,22.650445,,,,,
177,五和(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙岗区,114.060681,22.626833,,,,,
178,坂田(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙岗区,114.070852,22.627483,,,,,
179,梅林关(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.05319,22.594524,,,,,
180,民乐(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.048809,22.594144,,,,,
181,白石龙(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.042431,22.601505,,,,,
182,雅宝(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙岗区,114.060303,22.603439,,,,,
183,南坑(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙岗区,114.060546,22.610894,,,,,
184,光雅园(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙岗区,114.060892,22.616397,,,,,
185,民治(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.04085,22.617545,,,,,
186,梅村(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.052423,22.568443,,,,,
187,莲花北(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.059402,22.560538,,,,,
188,下梅林(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.041768,22.565672,,,,,
189,景田(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.043343,22.553419,,,,,
190,上梅林(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.05944,22.570462,,,,,
191,梅景(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.037934,22.561028,,,,,
192,冬瓜岭(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.067592,22.560437,,,,,
193,莲花西(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.050034,22.546668,,,,,
194,少年宫(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.06017,22.548627,,,,,
195,孖岭(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.067778,22.568458,,,,,
196,香梅北(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.032716,22.55386,,,,,
197,香梅(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.039683,22.545356,,,,,
198,莲花村(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.067829,22.548646,,,,,
199,翰岭(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.068894,22.574179,,,,,
200,石厦(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.053616,22.523708,,,,,
201,益田(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.050987,22.516287,,,,,
202,皇岗村(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.059823,22.523138,,,,,
203,沙尾(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.042579,22.520798,,,,,
204,购物公园(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.054581,22.534655,,,,,
205,福民(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.065915,22.523226,,,,,
206,福保(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.055586,22.507884,,,,,
207,上沙(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.035504,22.524612,,,,,
208,会展中心(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.061101,22.534769,,,,,
209,福田口岸(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.067731,22.51543,,,,,
210,福田(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.052879,22.540087,,,,,
211,岗厦(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.06819,22.534854,,,,,
212,香蜜湖(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.038637,22.538887,,,,,
213,市民中心(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.061192,22.541744,,,,,
214,岗厦北(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.068982,22.540858,,,,,
215,牛湖(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.089254,22.724608,,,,,
216,观澜湖(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙华区,114.076271,22.721616,,,,,
217,甘坑(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙岗区,114.105826,22.647828,,,,,
218,杨美(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙岗区,114.079975,22.626777,,,,,
219,雪象(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙岗区,114.078808,22.657116,,,,,
220,上水径(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙岗区,114.105337,22.622046,,,,,
221,岗头(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙岗区,114.071895,22.657067,,,,,
222,下水径(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,龙岗区,114.110662,22.614833,,,,,
223,八卦岭(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.094649,22.561941,,,,,
224,银湖(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,罗湖区,114.089851,22.568308,,,,,
225,黄木岗(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.08728,22.555843,,,,,
226,体育中心(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.096104,22.554673,,,,,
227,泥岗(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,罗湖区,114.097634,22.567804,,,,,
228,红岭北(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.104315,22.56203,,,,,
229,园岭(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.104497,22.556288,,,,,
230,通新岭(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.096273,22.549126,,,,,
231,华新(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.086654,22.548981,,,,,
232,华强北(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.085413,22.544441,,,,,
233,燕南(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.092561,22.544541,,,,,
234,红岭(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,罗湖区,114.104584,22.54838,,,,,
235,笋岗(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,罗湖区,114.111295,22.563406,,,,,
236,大剧院(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,罗湖区,114.107811,22.5418,,,,,
237,福邻(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,福田区,114.081529,22.524889,,,,,
