,儿童沙池乐园,体育休闲服务,体育休闲服务场所,体育休闲服务场所.1,广东省,深圳市,宝安区,113.770846,22.727371,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
87,Superkid儿童运动馆(世贸店),体育休闲服务,运动场馆,综合体育馆,广东省,深圳市,龙岗区,114.245474,22.716201,,,,,
88,抓抓彩儿童乐园(龙城商场店),体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.254704,22.718952,,,,,
89,糖果儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.236619,22.691408,,,,,
90,乐乐游儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.267059,22.688169,,,,,
91,嘻奇岛儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.268497,22.722431,,,,,
92,MELAND儿童成长乐园(壹海城店),体育休闲服务,休闲场所,游乐场,广东省,深圳市,盐田区,114.238966,22.551466,,,,,
93,贝迪乐儿童乐园(广富百货盐田店),体育休闲服务,休闲场所,游乐场,广东省,深圳市,盐田区,114.237776,22.55825,,,,,
94,圆笔儿童手工店(僮心手工店),体育休闲服务,休闲场所,休闲场所,广东省,深圳市,龙岗区,114.265968,22.724747,,,,,
95,蓝宝童儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.30703,22.768381,,,,,
96,义乌市场儿童主题乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.293557,22.727998,,,,,
97,欢乐陶陶儿童主题乐园(人人店),体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.273667,22.729643,,,,,
98,儿童游乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,盐田区,114.277718,22.632624,,,,,
99,儿童戏水,体育休闲服务,休闲场所,游乐场,广东省,深圳市,盐田区,114.30589,22.606836,,,,,
100,儿童主题乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,坪山区,114.344648,22.707776,,,,,
101,考拉大冒险儿童乐园(招商花园店),体育休闲服务,体育休闲服务场所,体育休闲服务场所,广东省,深圳市,坪山区,114.344604,22.707735,,,,,
102,好有趣儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,坪山区,114.335029,22.67688,,,,,
103,欢笑儿童之家,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.315724,22.687981,,,,,
104,儿童乐园(大新百货店),体育休闲服务,休闲场所,游乐场,广东省,深圳市,坪山区,114.373046,22.743862,,,,,
105,大力小子儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,坪山区,114.390344,22.708393,,,,,
106,考拉大冒险儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.474648,22.594177,,,,,
