165,丰味炭火烧烤,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.808381,22.684874
166,真功夫(福永桥头店),餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.807865,22.684016
167,中国兰州拉面(同泰店),餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.807333,22.683752
168,湘香味土菜馆,餐饮服务,中餐厅,湖南菜(湘菜),广东省,深圳市,宝安区,113.80672,22.683605
169,源味轩海鲜酒楼,餐饮服务,中餐厅,海鲜酒楼,广东省,深圳市,宝安区,113.809057,22.683415
170,明记正点快餐,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.809174,22.681396
171,吾皇小面,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.8133,22.689726
172,中国伊穆拉面,餐饮服务,中餐厅,清真菜馆,广东省,深圳市,宝安区,113.804719,22.683642
173,永和中式快餐(桥头店),餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.806485,22.68425
174,麦当劳(福永桥头DT店),餐饮服务,快餐厅,麦当劳,广东省,深圳市,宝安区,113.808131,22.684404
175,北方手工饺子,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.80833,22.681362
176,川锅汇火锅,餐饮服务,中餐厅,火锅店,广东省,深圳市,宝安区,113.812341,22.686243
177,舌头记西北小吃(桥头店),餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.806889,22.68704
178,四川美食,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.806898,22.684767
179,湘赣情木桶饭(桥荣路店),餐饮服务,中餐厅,火锅店,广东省,深圳市,宝安区,113.807608,22.684912
180,饶记·仙庙烧鸡(福海店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.806112,22.680072
181,遇秦记音乐主题餐厅(同泰时代广场店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.804524,22.678887
182,同泰万怡酒店·潮怡阁精品厨房,餐饮服务,中餐厅,广东菜(粤菜),广东省,深圳市,宝安区,113.805382,22.678715
183,胡胖子有点味(福海店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.810861,22.675142
184,蜀九香砂锅麻辣烫,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.806746,22.684003
185,鲜烧烤慕尼黑啤酒工厂店,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.808613,22.683219
186,川渝麻辣烫,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.807231,22.685338
187,重庆豆花鱼,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.811119,22.675575
188,江城楚味老漢口武汉热干面(福永店),餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.806953,22.685966
189,重庆曹氏面庄,餐饮服务,中餐厅,四川菜(川菜),广东省,深圳市,宝安区,113.808123,22.686376
190,遇见小面(宝安国际机场安检内店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.809518,22.632068
191,深井村(机场店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.812482,22.631052
192,2颗鸡蛋煎饼(宝安机场店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.809899,22.629812
193,大家乐(宝安国际机场店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.809969,22.629892
194,陈鹏鹏卤鹅饭店(宝安机场店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.809618,22.629418
195,新仙清汤牛腩(深圳机场店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.809547,22.629386
196,潮汕传人(机场店),餐饮服务,中餐厅,广东菜(粤菜),广东省,深圳市,宝安区,113.810576,22.629532
197,麦当劳(宝安国际机场店),餐饮服务,快餐厅,麦当劳,广东省,深圳市,宝安区,113.81014,22.629939
198,格沃斯沃歌斯(机场T3店),餐饮服务,外国餐厅,西餐厅(综合风味),广东省,深圳市,宝安区,113.810912,22.629959
199,赛百味,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.812488,22.630751
200,舌尖尖兰州拉面,餐饮服务,中餐厅,西北菜,广东省,深圳市,宝安区,113.80983,22.629517
201,度小月,餐饮服务,中餐厅,台湾菜,广东省,深圳市,宝安区,113.809918,22.629559
202,Mc Cafe,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.810945,22.629427
203,蘭庭厉家菜,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.810369,22.629644
204,亚克西中国兰州拉面(福围中路店),餐饮服务,中餐厅,清真菜馆,广东省,深圳市,宝安区,113.821916,22.651458
205,清远脆皮鸡煲,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.823502,22.650138
206,筒子骨头鲜粉,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.822908,22.651573
207,百味茶餐厅,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.822092,22.651786
208,华茂航空酒店-中餐厅,餐饮服务,外国餐厅,外国餐厅,广东省,深圳市,宝安区,113.825495,22.642819
209,牛富贵精品牛羊肉店,餐饮服务,中餐厅,东北菜,广东省,深圳市,宝安区,113.823668,22.651054
210,星尚厨房,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.821193,22.653251
211,煲煲掂,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.822494,22.652263
212,麦肯堡贝汉堡,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.822811,22.652227
213,凤麒楼酒家(机场东店),餐饮服务,中餐厅,综合酒楼,广东省,深圳市,宝安区,113.823943,22.648016
214,玉媛营养早餐客家豆腐,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.821902,22.652802
215,舌头记西北小吃,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.820612,22.653059
216,包包饺子馆(机场店),餐饮服务,中餐厅,特色/地方风味餐厅,广东省,深圳市,宝安区,113.825362,22.639117
217,湘味木桶饭,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.821796,22.651608
218,龙虾海鲜面(深圳宝安国际机场T3航站楼),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.81051,22.629647
219,潮州鲜牛肉店,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.823043,22.651515
220,老汉口中华武汉名吃,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.822208,22.651725
221,一品湘菜馆,餐饮服务,中餐厅,湖南菜(湘菜),广东省,深圳市,宝安区,113.826307,22.647832
222,大饭铺乡下菜(福永店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.819068,22.660613
223,湘格里辣,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.822783,22.651374
224,深圳机场职工食堂,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.823135,22.639232
225,河南牛肉胡辣汤(福永下十围店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.820992,22.653068
226,湘里土厨(东福围东街),餐饮服务,中餐厅,湖南菜(湘菜),广东省,深圳市,宝安区,113.82727,22.64765
227,烤小二(福围一店),餐饮服务,中餐厅,特色/地方风味餐厅,广东省,深圳市,宝安区,113.822576,22.651524
228,隆枱白,餐饮服务,中餐厅,东北菜,广东省,深圳市,宝安区,113.823266,22.651245
229,燚青春东北泥炉烤肉(福围店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.823511,22.650964
230,醉四川特色烤,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,深圳市,宝安区,113.820582,22.653574
231,1+1东北烧烤屋,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,深圳市,宝安区,113.823487,22.651173
232,成记烧鹅,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.824664,22.650934
233,叙约小份烤鱼福围店,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.824294,22.651023
234,犇犇牛肉牛杂火锅,餐饮服务,中餐厅,火锅店,广东省,深圳市,宝安区,113.82254,22.651777
235,烤小二(福围东店),餐饮服务,中餐厅,综合酒楼,广东省,深圳市,宝安区,113.827171,22.647895
236,佳好烧腊美食坊,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.82432,22.65106
