0,1,2,3,4
"114.224226,22.55629",沙头角街道,"[50.047371334795955, 111.17631397174262]",179.27183999999900,13.3654947
"114.228686,22.552484",沙头角街道,"[50.047371334795955, 111.17631397174262]",500.3019503999990,38.779822
"114.229264,22.55041",沙头角街道,"[50.047371334795955, 111.17631397174262]",491.8805423999980,38.1131418
"114.230597,22.54943",沙头角街道,"[50.047371334795955, 111.17631397174262]",492.29823839999800,38.1462087
"114.248955,22.746714",龙城街道,"[36.81578324639935, 158.9859040289725]",346.7932059999980,26.6273125
"114.263614,22.723565",龙岗街道,"[6.356118028783095, 245.81286141732264]",802.3112187500170,62.6883656
"114.249032,22.686132",龙城街道,"[36.81578324639935, 158.9859040289725]",273.06599549999800,20.7907028
"114.250256,22.587993",盐田街道,"[12.647804319762852, 263.3267297570851]",141.22320000000000,10.3533767
"114.240061,22.588111",盐田街道,"[12.647804319762852, 263.3267297570851]",35.54821150000000,1.98762323
"114.241498,22.561845",海山街道,"[16.421390006474546, 538.29475]",136.6579940000010,9.99197243
"114.237936,22.548124",海山街道,"[16.421390006474546, 538.29475]",259.1082914999990,19.6857421
"114.233418,22.549448",沙头角街道,"[50.047371334795955, 111.17631397174262]",452.24839679999700,34.9756656
"114.283332,22.762533",坪地街道,"[7.356230742310452, 394.4910882352946]",163.5356172500000,12.1197377
"114.305372,22.764696",坪地街道,"[7.356230742310452, 394.4910882352946]",572.2872532500060,44.4785337
"114.287799,22.72021",宝龙街道,"[11.955445553245749, 242.08090995907222]",434.44933074999600,33.5666038
"114.28656,22.690325",宝龙街道,"[11.955445553245749, 242.08090995907222]",175.63751050000000,13.0777833
"114.289303,22.667725",碧岭街道,"[5.89764591837734, 351.8989157894739]",288.1409042500000,21.9841069
"114.277287,22.692411",宝龙街道,"[11.955445553245749, 242.08090995907222]",189.43195224999900,14.1698193
"114.299144,22.599616",梅沙街道,"[17.254436349153266, 213.26120246478885]",48.99329550000000,3.05200241
"114.305436,22.594628",梅沙街道,"[17.254436349153266, 213.26120246478885]",165.72093075,12.2927379
"114.274643,22.585351",盐田街道,"[12.647804319762852, 263.3267297570851]",124.5555592500000,9.03388399
"114.326215,22.789071",坪地街道,"[7.356230742310452, 394.4910882352946]",112.29997025000000,8.0636711
"114.334782,22.76342",坪地街道,"[7.356230742310452, 394.4910882352946]",88.40880975000010,6.17232897
"114.327763,22.733949",宝龙街道,"[11.955445553245749, 242.08090995907222]",84.14720475000010,5.8349593
"114.320025,22.673262",碧岭街道,"[5.89764591837734, 351.8989157894739]",89.40598200000020,6.25127005
"114.331726,22.638508",马峦街道,"[8.925995304247168, 270.29911270125234]",10.440842000000000,0
"114.311482,22.600942",梅沙街道,"[17.254436349153266, 213.26120246478885]",133.52559700000000,9.74399643
"114.35848,22.726669",龙田街道,"[16.457771466002924, 187.59610321100928]",86.11059350000020,5.99039084
"114.37144,22.684605",马峦街道,"[8.925995304247168, 270.29911270125234]",172.386524999999,12.8204192
"114.380298,22.691367",石井街道,"[20.53132902973279, 183.15865772960612]",159.20226350000000,11.776688
"114.353759,22.683803",马峦街道,"[8.925995304247168, 270.29911270125234]",356.933786249996,27.4300909
"114.360484,22.608046",葵涌街道,"[6.862153772559306, 252.75368937048515]",30.920552500000000,1.62127492
"114.400458,22.753143",坑梓街道,"[27.171170302118618, 145.76716054158604]",126.7389775000000,9.20673415
"114.397931,22.755905",坑梓街道,"[27.171170302118618, 145.76716054158604]",131.69325125000000,9.5989389
"114.401723,22.691477",石井街道,"[20.53132902973279, 183.15865772960612]",86.95226500000000,6.05702171
"114.41237,22.636104",葵涌街道,"[6.862153772559306, 252.75368937048515]",103.0672147500000,7.33276063
"114.421022,22.634892",葵涌街道,"[6.862153772559306, 252.75368937048515]",314.65743724999800,24.0832865
"114.399945,22.657918",石井街道,"[20.53132902973279, 183.15865772960612]",22.947957749999900,0.99012499
"114.429586,22.632485",葵涌街道,"[6.862153772559306, 252.75368937048515]",316.725245249998,24.2469844
"114.424458,22.60404",葵涌街道,"[6.862153772559306, 252.75368937048515]",27.302430000000000,1.33484649
"114.437177,22.628964",葵涌街道,"[6.862153772559306, 252.75368937048515]",49.185618250000000,3.06722763
"114.453981,22.571419",大鹏街道,"[6.024117677770745, 254.6446409638549]",20.876449500000000,0.82613417
"114.474846,22.593592",大鹏街道,"[6.024117677770745, 254.6446409638549]",396.9253662499990,30.5960216
"114.508072,22.592766",大鹏街道,"[6.024117677770745, 254.6446409638549]",123.76433750000000,8.97124697
"114.472852,22.597038",大鹏街道,"[6.024117677770745, 254.6446409638549]",244.594828,18.5367847
"114.494475,22.565251",大鹏街道,"[6.024117677770745, 254.6446409638549]",74.69243425000020,5.08647302
"114.485708,22.574515",大鹏街道,"[6.024117677770745, 254.6446409638549]",72.53645200000010,4.91579483
"114.493143,22.532703",南澳街道,"[2.677708246753552, 327.19840322580626]",121.61377025000000,8.80099746
"114.528983,22.553854",南澳街道,"[2.677708246753552, 327.19840322580626]",31.252131000000000,1.64752431
"114.540863,22.55665",南澳街道,"[2.677708246753552, 327.19840322580626]",20.651456250000000,0.8083226
"114.516337,22.53602",南澳街道,"[2.677708246753552, 327.19840322580626]",21.96053250000000,0.91195553
